# gmm-align-compiled --transition-scale=1.0 --acoustic-scale=0.1 --self-loop-scale=0.1 --beam=10 --retry-beam=40 --careful=false "gmm-boost-silence --boost=1.5 1 exp/mono/5.mdl - |" "ark:gunzip -c exp/mono/fsts.1.gz|" "ark,s,cs:apply-cmvn  --utt2spk=ark:data/train/split1/1/utt2spk scp:data/train/split1/1/cmvn.scp scp:data/train/split1/1/feats.scp ark:- | add-deltas ark:- ark:- |" "ark,t:|gzip -c >exp/mono/ali.1.gz" 
# Started at Mon May  7 18:22:21 +07 2018
#
gmm-align-compiled --transition-scale=1.0 --acoustic-scale=0.1 --self-loop-scale=0.1 --beam=10 --retry-beam=40 --careful=false 'gmm-boost-silence --boost=1.5 1 exp/mono/5.mdl - |' 'ark:gunzip -c exp/mono/fsts.1.gz|' 'ark,s,cs:apply-cmvn  --utt2spk=ark:data/train/split1/1/utt2spk scp:data/train/split1/1/cmvn.scp scp:data/train/split1/1/feats.scp ark:- | add-deltas ark:- ark:- |' 'ark,t:|gzip -c >exp/mono/ali.1.gz' 
gmm-boost-silence --boost=1.5 1 exp/mono/5.mdl - 
WARNING (gmm-boost-silence[5.4.10~1-f629b]:main():gmm-boost-silence.cc:82) The pdfs for the silence phones may be shared by other phones (note: this probably does not matter.)
LOG (gmm-boost-silence[5.4.10~1-f629b]:main():gmm-boost-silence.cc:93) Boosted weights for 5 pdfs, by factor of 1.5
LOG (gmm-boost-silence[5.4.10~1-f629b]:main():gmm-boost-silence.cc:103) Wrote model to -
apply-cmvn --utt2spk=ark:data/train/split1/1/utt2spk scp:data/train/split1/1/cmvn.scp scp:data/train/split1/1/feats.scp ark:- 
add-deltas ark:- ark:- 
LOG (gmm-align-compiled[5.4.10~1-f629b]:main():gmm-align-compiled.cc:127) dinhky-v4_Ky2
LOG (gmm-align-compiled[5.4.10~1-f629b]:main():gmm-align-compiled.cc:127) dinhky-v4_Ky3
LOG (gmm-align-compiled[5.4.10~1-f629b]:main():gmm-align-compiled.cc:127) dinhky-v4_Ky4
LOG (gmm-align-compiled[5.4.10~1-f629b]:main():gmm-align-compiled.cc:127) dinhky-v4_Ky5
LOG (gmm-align-compiled[5.4.10~1-f629b]:main():gmm-align-compiled.cc:127) dinhky-v4_Ky6
LOG (gmm-align-compiled[5.4.10~1-f629b]:main():gmm-align-compiled.cc:127) dinhky-v4_Ky7
LOG (gmm-align-compiled[5.4.10~1-f629b]:main():gmm-align-compiled.cc:127) dinhky-v4_Ky8
LOG (gmm-align-compiled[5.4.10~1-f629b]:main():gmm-align-compiled.cc:127) dinhky-v4_Ky9
LOG (gmm-align-compiled[5.4.10~1-f629b]:main():gmm-align-compiled.cc:127) dinhky-v5_Ky1
LOG (gmm-align-compiled[5.4.10~1-f629b]:main():gmm-align-compiled.cc:127) dinhky-v5_Ky2
LOG (gmm-align-compiled[5.4.10~1-f629b]:main():gmm-align-compiled.cc:127) dinhky-v5_Ky3
LOG (gmm-align-compiled[5.4.10~1-f629b]:main():gmm-align-compiled.cc:127) dinhky-v5_Ky4
LOG (gmm-align-compiled[5.4.10~1-f629b]:main():gmm-align-compiled.cc:127) dinhky-v5_Ky5
LOG (gmm-align-compiled[5.4.10~1-f629b]:main():gmm-align-compiled.cc:127) dinhky-v5_Ky6
LOG (gmm-align-compiled[5.4.10~1-f629b]:main():gmm-align-compiled.cc:127) dinhky-v5_Ky7
LOG (gmm-align-compiled[5.4.10~1-f629b]:main():gmm-align-compiled.cc:127) dinhky-v5_Ky8
LOG (gmm-align-compiled[5.4.10~1-f629b]:main():gmm-align-compiled.cc:127) dinhky-v5_Ky9
LOG (gmm-align-compiled[5.4.10~1-f629b]:main():gmm-align-compiled.cc:127) dinhky-v6_Ky1
LOG (gmm-align-compiled[5.4.10~1-f629b]:main():gmm-align-compiled.cc:127) dinhky-v6_Ky2
LOG (gmm-align-compiled[5.4.10~1-f629b]:main():gmm-align-compiled.cc:127) dinhky-v6_Ky3
LOG (gmm-align-compiled[5.4.10~1-f629b]:main():gmm-align-compiled.cc:127) dinhky-v6_Ky4
LOG (gmm-align-compiled[5.4.10~1-f629b]:main():gmm-align-compiled.cc:127) dinhky-v6_Ky5
LOG (gmm-align-compiled[5.4.10~1-f629b]:main():gmm-align-compiled.cc:127) dinhky-v6_Ky6
LOG (gmm-align-compiled[5.4.10~1-f629b]:main():gmm-align-compiled.cc:127) dinhky-v6_Ky7
LOG (gmm-align-compiled[5.4.10~1-f629b]:main():gmm-align-compiled.cc:127) dinhky-v6_Ky8
LOG (gmm-align-compiled[5.4.10~1-f629b]:main():gmm-align-compiled.cc:127) dinhky-v6_Ky9
LOG (gmm-align-compiled[5.4.10~1-f629b]:main():gmm-align-compiled.cc:127) dinhky-v7_Ky1
LOG (gmm-align-compiled[5.4.10~1-f629b]:main():gmm-align-compiled.cc:127) dinhky-v7_Ky2
LOG (gmm-align-compiled[5.4.10~1-f629b]:main():gmm-align-compiled.cc:127) dinhky-v7_Ky3
LOG (gmm-align-compiled[5.4.10~1-f629b]:main():gmm-align-compiled.cc:127) dinhky-v7_Ky4
LOG (gmm-align-compiled[5.4.10~1-f629b]:main():gmm-align-compiled.cc:127) dinhky-v7_Ky5
LOG (gmm-align-compiled[5.4.10~1-f629b]:main():gmm-align-compiled.cc:127) dinhky-v7_Ky6
LOG (gmm-align-compiled[5.4.10~1-f629b]:main():gmm-align-compiled.cc:127) dinhky-v7_Ky7
LOG (gmm-align-compiled[5.4.10~1-f629b]:main():gmm-align-compiled.cc:127) dinhky-v7_Ky8
LOG (gmm-align-compiled[5.4.10~1-f629b]:main():gmm-align-compiled.cc:127) dinhky-v7_Ky9
LOG (gmm-align-compiled[5.4.10~1-f629b]:main():gmm-align-compiled.cc:127) dinhky-v8_Ky1
LOG (gmm-align-compiled[5.4.10~1-f629b]:main():gmm-align-compiled.cc:127) dinhky-v8_Ky2
LOG (gmm-align-compiled[5.4.10~1-f629b]:main():gmm-align-compiled.cc:127) dinhky-v8_Ky3
LOG (gmm-align-compiled[5.4.10~1-f629b]:main():gmm-align-compiled.cc:127) dinhky-v8_Ky4
LOG (gmm-align-compiled[5.4.10~1-f629b]:main():gmm-align-compiled.cc:127) dinhky-v8_Ky5
LOG (gmm-align-compiled[5.4.10~1-f629b]:main():gmm-align-compiled.cc:127) dinhky-v8_Ky6
LOG (gmm-align-compiled[5.4.10~1-f629b]:main():gmm-align-compiled.cc:127) dinhky-v8_Ky7
LOG (gmm-align-compiled[5.4.10~1-f629b]:main():gmm-align-compiled.cc:127) dinhky-v8_Ky8
LOG (gmm-align-compiled[5.4.10~1-f629b]:main():gmm-align-compiled.cc:127) dinhky-v8_Ky9
LOG (gmm-align-compiled[5.4.10~1-f629b]:main():gmm-align-compiled.cc:127) dinhky-v9_Ky1
LOG (gmm-align-compiled[5.4.10~1-f629b]:main():gmm-align-compiled.cc:127) dinhky-v9_Ky2
LOG (gmm-align-compiled[5.4.10~1-f629b]:main():gmm-align-compiled.cc:127) dinhky-v9_Ky3
LOG (apply-cmvn[5.4.10~1-f629b]:main():apply-cmvn.cc:162) Applied cepstral mean normalization to 99 utterances, errors on 0
LOG (gmm-align-compiled[5.4.10~1-f629b]:main():gmm-align-compiled.cc:127) dinhky-v9_Ky4
LOG (gmm-align-compiled[5.4.10~1-f629b]:main():gmm-align-compiled.cc:127) dinhky-v9_Ky5
LOG (gmm-align-compiled[5.4.10~1-f629b]:main():gmm-align-compiled.cc:127) dinhky-v9_Ky6
LOG (gmm-align-compiled[5.4.10~1-f629b]:main():gmm-align-compiled.cc:127) dinhky-v9_Ky7
LOG (gmm-align-compiled[5.4.10~1-f629b]:main():gmm-align-compiled.cc:127) dinhky-v9_Ky8
LOG (gmm-align-compiled[5.4.10~1-f629b]:main():gmm-align-compiled.cc:127) dinhky-v9_Ky9
LOG (gmm-align-compiled[5.4.10~1-f629b]:main():gmm-align-compiled.cc:135) Overall log-likelihood per frame is -62.0986 over 25002 frames.
LOG (gmm-align-compiled[5.4.10~1-f629b]:main():gmm-align-compiled.cc:137) Retried 0 out of 99 utterances.
LOG (gmm-align-compiled[5.4.10~1-f629b]:main():gmm-align-compiled.cc:139) Done 99, errors on 0
# Accounting: time=2 threads=1
# Ended (code 0) at Mon May  7 18:22:23 +07 2018, elapsed time 2 seconds
